Time,x,y
1163,-0.59076,-0.833985
1164,-0.6307,-0.85336
1165,-0.630055,-0.854495
1166,-0.62941,-0.85563
1167,-0.628115,-0.822015
1168,-0.62682,-0.7884
1169,-0.630155,-0.80245
1170,-0.63349,-0.8165
1171,-0.60059,-0.84159
1172,-0.56769,-0.86668
1173,-0.58041,-0.838955
1174,-0.59313,-0.81123
1175,-0.58907,-0.832015
1176,-0.58501,-0.8528
1177,-0.579405,-0.82255
1178,-0.5738,-0.7923
1179,-0.55907,-0.786925
1180,-0.54434,-0.78155
1181,-0.58158,-0.807095
1182,-0.61882,-0.83264
1183,-0.6096,-0.84155
1184,-0.60038,-0.85046
1185,-0.61099,-0.817955
1186,-0.6216,-0.78545
1187,-0.61677,-0.806795
1188,-0.61194,-0.82814
1189,-0.614965,-0.83045
1190,-0.61799,-0.83276
1191,-0.61139,-0.834375
1192,-0.60479,-0.83599
1193,-0.574885,-0.841545
1194,-0.54498,-0.8471
1195,-0.53782,-0.821955
1196,-0.53066,-0.79681
1197,-0.548935,-0.803215
1198,-0.56721,-0.80962
1199,-0.550205,-0.791305
1200,-0.5332,-0.77299
1201,-0.563325,-0.785135
1202,-0.59345,-0.79728
1203,-0.582815,-0.8014
1204,-0.57218,-0.80552
1205,-0.57454,-0.82069
1206,-0.5769,-0.83586
1207,-0.55988,-0.827245
1208,-0.54286,-0.81863
1209,-0.529825,-0.80112
1210,-0.51679,-0.78361
1211,-0.55251,-0.789275
1212,-0.58823,-0.79494
1213,-0.56088,-0.76942
1214,-0.53353,-0.7439
1215,-0.544605,-0.785135
1216,-0.55568,-0.82637
1217,-0.543095,-0.80601
1218,-0.53051,-0.78565
1219,-0.52391,-0.779935
1220,-0.51731,-0.77422
1221,-0.548935,-0.793405
1222,-0.58056,-0.81259
1223,-0.54491,-0.79125
1224,-0.50926,-0.76991
1225,-0.55436,-0.753085
1226,-0.59946,-0.73626
1227,-0.572225,-0.76823
1228,-0.54499,-0.8002
1229,-0.528035,-0.80132
1230,-0.51108,-0.80244
1231,-0.54676,-0.80615
1232,-0.58244,-0.80986
1233,-0.56904,-0.778875
1234,-0.55564,-0.74789
1235,-0.56008,-0.779015
1236,-0.56452,-0.81014
1237,-0.55202,-0.795515
1238,-0.53952,-0.78089
1239,-0.52609,-0.745755
1240,-0.51266,-0.71062
1241,-0.533975,-0.72008
1242,-0.55529,-0.72954
1243,-0.54337,-0.754585
1244,-0.53145,-0.77963
1245,-0.513825,-0.75671
1246,-0.4962,-0.73379
1247,-0.50261,-0.76
1248,-0.50902,-0.78621
1249,-0.50936,-0.760615
1250,-0.5097,-0.73502
1251,-0.50221,-0.72266
1252,-0.49472,-0.7103
1253,-0.53292,-0.70716
1254,-0.57112,-0.70402
1255,-0.546365,-0.73059
1256,-0.52161,-0.75716
1257,-0.51797,-0.749265
1258,-0.51433,-0.74137
1259,-0.509755,-0.73071
1260,-0.50518,-0.72005
1261,-0.51174,-0.71782
1262,-0.5183,-0.71559
1263,-0.535485,-0.72675
1264,-0.55267,-0.73791
1265,-0.567085,-0.74174
1266,-0.5815,-0.74557
1267,-0.57688,-0.74877
1268,-0.57226,-0.75197
1269,-0.563745,-0.761175
1270,-0.55523,-0.77038
1271,-0.52717,-0.75096
1272,-0.49911,-0.73154
1273,-0.49563,-0.744485
1274,-0.49215,-0.75743
1275,-0.5144,-0.74478
1276,-0.53665,-0.73213
1277,-0.50941,-0.705035
1278,-0.48217,-0.67794
1279,-0.5296,-0.697405
1280,-0.57703,-0.71687
1281,-0.535445,-0.69573
1282,-0.49386,-0.67459
1283,-0.51011,-0.7147
1284,-0.52636,-0.75481
1285,-0.503725,-0.708755
1286,-0.48109,-0.6627
1287,-0.48572,-0.70653
1288,-0.49035,-0.75036
1289,-0.525865,-0.738525
1290,-0.56138,-0.72669
1291,-0.551505,-0.702075
1292,-0.54163,-0.67746
1293,-0.55613,-0.68561
1294,-0.57063,-0.69376
1295,-0.551065,-0.699585
1296,-0.5315,-0.70541
1297,-0.531395,-0.7128
1298,-0.53129,-0.72019
1299,-0.536755,-0.727435
1300,-0.54222,-0.73468
1301,-0.51259,-0.72559
1302,-0.48296,-0.7165
1303,-0.50371,-0.72192
1304,-0.52446,-0.72734
1305,-0.51344,-0.718815
1306,-0.50242,-0.71029
1307,-0.50447,-0.719655
1308,-0.50652,-0.72902
1309,-0.497935,-0.691905
1310,-0.48935,-0.65479
1311,-0.517815,-0.646815
1312,-0.54628,-0.63884
1313,-0.5205,-0.675505
1314,-0.49472,-0.71217
1315,-0.51244,-0.68678
1316,-0.53016,-0.66139
1317,-0.547695,-0.693745
1318,-0.56523,-0.7261
1319,-0.524275,-0.696235
1320,-0.48332,-0.66637
1321,-0.478035,-0.662715
1322,-0.47275,-0.65906
1323,-0.515315,-0.68967
1324,-0.55788,-0.72028
1325,-0.53812,-0.720975
1326,-0.51836,-0.72167
1327,-0.50581,-0.71371
1328,-0.49326,-0.70575
1329,-0.52535,-0.668755
1330,-0.55744,-0.63176
1331,-0.561065,-0.66008
1332,-0.56469,-0.6884
1333,-0.54415,-0.674615
1334,-0.52361,-0.66083
1335,-0.539,-0.660305
1336,-0.55439,-0.65978
1337,-0.512125,-0.65651
1338,-0.46986,-0.65324
1339,-0.471265,-0.66397
1340,-0.47267,-0.6747
1341,-0.472855,-0.66968
1342,-0.47304,-0.66466
1343,-0.47035,-0.663615
1344,-0.46766,-0.66257
1345,-0.482035,-0.63309
1346,-0.49641,-0.60361
1347,-0.495785,-0.64892
1348,-0.49516,-0.69423
1349,-0.511565,-0.67629
1350,-0.52797,-0.65835
1351,-0.54318,-0.63761
1352,-0.55839,-0.61687
